id,grade,annual_inc,short_emp,emp_length_num,home_ownership,dti,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,od_ratio,bad_loan
7306129,B,60000,0,11,RENT,15.7,credit_card, 36 months,0,,56.9,0.0,0.683678102,0
6169246,C,30000,0,3,RENT,15.29,vacation, 36 months,1,,35.4,0.0,0.326979604,0
9036515,B,70000,0,5,OWN,12.29,debt_consolidation, 36 months,0,,59.9,0.0,0.405352033,0
7307059,C,110000,0,5,RENT,5.55,debt_consolidation, 36 months,0,,21.7,0.0,0.174601025,0
5716535,C,53000,0,11,MORTGAGE,20.31,debt_consolidation, 60 months,0,,87.8,0.0,0.054221613,0
6405529,C,52000,0,4,RENT,19.36,credit_card, 36 months,1,,61.5,0.0,0.820890941,0
8990170,A,52000,0,2,MORTGAGE,18.76,debt_consolidation, 36 months,1,,19.9,0.0,0.595697742,0
7093917,D,40000,1,1,RENT,20.82,debt_consolidation, 36 months,1,,81.5,0.0,0.997891282,1
10394950,C,100000,0,11,MORTGAGE,7.91,home_improvement, 60 months,1,,59.3,0.0,0.457542636,0
6180781,B,65000,0,10,MORTGAGE,4.58,credit_card, 36 months,1,,82.9,0.0,0.729394983,0
7955797,D,40000,0,9,RENT,24.24,debt_consolidation, 60 months,0,,40.9,0.0,0.76166859,0
8215161,D,65000,0,6,MORTGAGE,16.86,home_improvement, 36 months,0,,31.3,0.0,0.138181848,0
5696636,A,55000,0,8,MORTGAGE,24.88,credit_card, 36 months,1,,21.6,0.0,0.272857761,0
6386452,D,75000,0,11,MORTGAGE,26.62,debt_consolidation, 60 months,0,,59.4,0.0,0.346596144,1
7727883,D,29000,0,2,MORTGAGE,12.17,other, 36 months,0,,63.2,0.0,0.831535856,0
10606981,D,100000,0,3,RENT,15.76,debt_consolidation, 60 months,0,,27.1,0.0,0.554223654,0
9228075,B,65000,0,3,RENT,9.53,small_business, 36 months,1,,5.9,0.0,0.79146019,0
7656175,B,77800,0,4,MORTGAGE,25.87,credit_card, 60 months,1,,53.2,0.0,0.516203711,0
11215626,C,55000,0,4,OWN,8.31,debt_consolidation, 36 months,1,,22.5,0.0,0.078736029,0
10625720,B,56000,0,5,MORTGAGE,13.43,credit_card, 36 months,0,,62.9,0.0,0.992650835,0
7729977,F,56000,0,8,RENT,19.89,debt_consolidation, 60 months,1,,87.4,0.0,0.387298234,0
5790020,B,60000,0,10,MORTGAGE,13.58,debt_consolidation, 60 months,1,,49.6,0.0,0.608629592,0
6576127,F,50000,0,11,RENT,23.62,debt_consolidation, 60 months,0,,86.8,0.0,0.730886979,1
5620506,F,92000,0,11,RENT,29.85,debt_consolidation, 60 months,0,,59.8,0.0,0.682298628,0
6180451,D,98000,0,7,,7.18,home_improvement, 36 months,0,,28.1,0.0,0.773304439,0
7945679,B,76000,0,8,MORTGAGE,22.28,debt_consolidation, 36 months,0,,57.4,0.0,0.82288605,0
8185425,F,76243,0,11,RENT,7.26,debt_consolidation, 60 months,1,,80.3,0.0,0.429509133,0
7073485,B,65000,0,11,MORTGAGE,19.64,debt_consolidation, 36 months,1,,63.8,0.0,0.920108053,0
