id,grade,annual_inc,short_emp,emp_length_num,home_ownership,dti,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,od_ratio,bad_loan
5760323,A,150000,0,3,MORTGAGE,6.59,credit_card, 36 months,1,,36.9,0.0,0.828124802,0
10175674,C,104000,0,8,RENT,13.45,debt_consolidation, 36 months,0,,82.5,0.0,0.762722262,0
7669206,A,110000,0,6,MORTGAGE,11.28,debt_consolidation, 36 months,0,,48.6,0.0,0.471817913,0
10112656,D,200000,1,1,MORTGAGE,8.07,small_business, 60 months,1,,41.7,0.0,0.798950073,0
7075550,E,44000,0,6,RENT,19.55,debt_consolidation, 60 months,1,,57.0,0.0,0.438580463,1
8974874,C,47000,0,11,MORTGAGE,24.54,credit_card, 36 months,1,,59.3,0.0,0.569185227,0
10874770,A,70000,0,8,MORTGAGE,13.18,credit_card, 36 months,0,,49.1,0.0,0.008054504,0
7046662,E,69586,0,7,RENT,11.12,debt_consolidation, 60 months,1,,70.8,0.0,0.724958417,0
7058573,D,48000,0,4,RENT,21.7,credit_card, 36 months,1,,55.9,0.0,0.441371123,0
10626094,B,140000,0,11,MORTGAGE,15.26,debt_consolidation, 36 months,0,0.0,87.1,0.0,0.596784208,0
5757722,B,37000,0,2,,10.65,debt_consolidation, 36 months,1,,49.3,0.0,0.307117107,0
10625613,C,62000,0,11,RENT,17.89,debt_consolidation, 36 months,1,,49.6,0.0,0.818406564,0
7070951,F,90000,0,7,MORTGAGE,11.09,debt_consolidation, 60 months,1,,52.0,0.0,0.40086149,0
5947021,C,70000,0,11,MORTGAGE,15.24,credit_card, 60 months,1,,40.8,0.0,0.669175685,0
6084592,D,76400,0,11,,25.62,debt_consolidation, 36 months,0,,72.5,0.0,0.686711739,1
10595331,C,75000,0,2,MORTGAGE,17.42,credit_card, 60 months,0,,74.9,0.0,0.557877924,0
10160459,C,35000,0,5,OWN,34.26,debt_consolidation, 36 months,1,,64.8,0.0,0.886642421,1
6543518,B,83000,0,11,MORTGAGE,11.88,debt_consolidation, 36 months,1,,55.8,0.0,0.135710373,0
5967141,D,86000,0,9,OWN,12.03,home_improvement, 36 months,0,,49.2,0.0,0.682545963,0
9034650,E,78000,0,11,MORTGAGE,2.8,debt_consolidation, 60 months,1,,55.9,0.0,0.943215823,0
5767107,D,79200,0,11,MORTGAGE,26.86,debt_consolidation, 60 months,0,,81.3,0.0,0.367252283,0
7496164,A,108000,0,11,MORTGAGE,20.02,debt_consolidation, 36 months,1,,30.2,0.0,0.677515541,0
6526846,C,130000,0,5,RENT,13.34,credit_card, 60 months,1,,81.9,0.0,0.858580556,0
6375219,D,45000,0,7,RENT,9.36,debt_consolidation, 36 months,0,,34.9,0.0,0.82260377,1
8981629,D,40000,1,0,,33.0,debt_consolidation, 36 months,0,,40.8,0.0,0.794315153,0
